epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,702.946,0.52975,0.45023,0.40997,0.9159,0.89429,0.81267,0.86274,0.66265,0.87579,0.78329,0.83627,0.51362,0.51875,0.39419,0.41944,0.94274,0.0095215,0.0095215,0.0095215
31,726.325,0.52587,0.43934,0.40815,0.91378,0.92733,0.8433,0.88758,0.70523,0.92332,0.79628,0.84565,0.52778,0.51987,0.36387,0.42067,0.9385,0.009505,0.009505,0.009505
32,749.302,0.52602,0.44738,0.40794,0.91118,0.87296,0.81887,0.8727,0.67524,0.88009,0.75818,0.81706,0.52184,0.52474,0.39051,0.43789,0.95661,0.0094885,0.0094885,0.0094885
33,772.429,0.52994,0.43765,0.41019,0.91945,0.87399,0.85477,0.87366,0.70272,0.8465,0.80712,0.82002,0.50517,0.49277,0.37659,0.43227,0.91238,0.009472,0.009472,0.009472
34,795.532,0.52513,0.44615,0.41362,0.91022,0.90926,0.81993,0.87065,0.69287,0.90917,0.77514,0.837,0.51687,0.51043,0.37338,0.41079,0.93694,0.0094555,0.0094555,0.0094555
35,818.882,0.52014,0.43865,0.40322,0.90962,0.913,0.83751,0.87965,0.6872,0.87911,0.82429,0.86036,0.54033,0.50342,0.36634,0.4305,0.92795,0.009439,0.009439,0.009439
36,841.968,0.51518,0.43531,0.39497,0.90802,0.93523,0.82515,0.88316,0.70415,0.90432,0.78001,0.84514,0.52332,0.50146,0.36799,0.40635,0.91968,0.0094225,0.0094225,0.0094225
37,865.09,0.5191,0.4364,0.40445,0.91467,0.90821,0.82978,0.88022,0.71175,0.87915,0.81088,0.86098,0.52753,0.48999,0.36833,0.41679,0.92259,0.009406,0.009406,0.009406
38,888.266,0.5168,0.45228,0.39577,0.90952,0.91059,0.8279,0.86616,0.68021,0.89711,0.81886,0.85417,0.5371,0.50557,0.38022,0.39709,0.93408,0.0093895,0.0093895,0.0093895
39,911.856,0.51759,0.44394,0.40399,0.90865,0.91173,0.84106,0.88716,0.70128,0.91539,0.79715,0.86119,0.52337,0.50321,0.37677,0.40798,0.93778,0.009373,0.009373,0.009373
40,934.967,0.50958,0.42906,0.39358,0.90735,0.88886,0.854,0.88503,0.69762,0.90215,0.78595,0.83573,0.52365,0.50902,0.39185,0.41435,0.92764,0.0093565,0.0093565,0.0093565
41,958.481,0.50829,0.43893,0.39299,0.90399,0.93883,0.80692,0.87796,0.70171,0.93651,0.77417,0.83996,0.53392,0.49195,0.38253,0.42101,0.91517,0.00934,0.00934,0.00934
42,982.131,0.51063,0.4391,0.39181,0.90636,0.90446,0.83887,0.89383,0.71767,0.88389,0.82009,0.85958,0.52802,0.5051,0.37537,0.40583,0.93106,0.0093235,0.0093235,0.0093235
43,1004.94,0.51419,0.43904,0.39241,0.90819,0.93036,0.82555,0.88007,0.70894,0.91777,0.78553,0.85639,0.53022,0.49709,0.37951,0.40166,0.92244,0.009307,0.009307,0.009307
44,1028.18,0.50133,0.42328,0.38384,0.9026,0.93499,0.82724,0.88461,0.69374,0.91609,0.8142,0.86252,0.52794,0.49251,0.37176,0.42211,0.91085,0.0092905,0.0092905,0.0092905
45,1050.95,0.50558,0.43345,0.38093,0.90472,0.9126,0.85023,0.89472,0.69978,0.90762,0.75773,0.84159,0.5334,0.492,0.36985,0.40017,0.92545,0.009274,0.009274,0.009274
46,1074.06,0.50541,0.44102,0.38365,0.9057,0.89775,0.87387,0.8921,0.70552,0.88622,0.80641,0.84006,0.52097,0.50371,0.37917,0.40057,0.93422,0.0092575,0.0092575,0.0092575
47,1097.02,0.50339,0.43222,0.38579,0.90472,0.90464,0.85252,0.89574,0.70572,0.87896,0.81712,0.85509,0.53174,0.49477,0.3754,0.4005,0.92059,0.009241,0.009241,0.009241
48,1119.95,0.50517,0.44035,0.37946,0.90788,0.94445,0.83042,0.89052,0.71168,0.89754,0.76566,0.83789,0.52783,0.48043,0.36069,0.4079,0.93146,0.0092245,0.0092245,0.0092245
49,1142.97,0.49359,0.42273,0.3748,0.9,0.92786,0.80564,0.87507,0.68997,0.93439,0.79173,0.85724,0.54276,0.5062,0.37359,0.41398,0.93551,0.009208,0.009208,0.009208
50,1165.68,0.49859,0.43314,0.37354,0.89821,0.89661,0.86275,0.88968,0.70193,0.92136,0.79005,0.84519,0.53495,0.50471,0.36614,0.40342,0.93524,0.0091915,0.0091915,0.0091915
51,1189.19,0.49694,0.42358,0.38278,0.90322,0.9176,0.8237,0.86974,0.69326,0.9135,0.81043,0.87063,0.53839,0.49448,0.37576,0.40534,0.93378,0.009175,0.009175,0.009175
52,1212.26,0.49826,0.42402,0.38084,0.90253,0.918,0.82938,0.88569,0.69974,0.89615,0.79738,0.84187,0.52404,0.49277,0.3652,0.39616,0.91735,0.0091585,0.0091585,0.0091585
53,1234.88,0.49715,0.4317,0.3754,0.89996,0.93263,0.8466,0.88611,0.7128,0.90984,0.82516,0.86077,0.52702,0.47398,0.37785,0.42319,0.91084,0.009142,0.009142,0.009142
54,1257.44,0.48777,0.42798,0.37165,0.89709,0.94357,0.82014,0.88677,0.69613,0.91026,0.77474,0.84472,0.53313,0.50016,0.36769,0.40274,0.93342,0.0091255,0.0091255,0.0091255
55,1280.66,0.48874,0.4199,0.37453,0.89751,0.92833,0.82427,0.86948,0.71052,0.90151,0.79992,0.83916,0.52104,0.48085,0.3703,0.38531,0.92326,0.009109,0.009109,0.009109
56,1303.57,0.48489,0.42455,0.36441,0.89474,0.94822,0.81617,0.88969,0.70975,0.91983,0.79266,0.84138,0.52353,0.49158,0.37872,0.39735,0.91712,0.0090925,0.0090925,0.0090925
57,1326.44,0.48553,0.43056,0.36379,0.89472,0.93108,0.81924,0.87394,0.70662,0.89905,0.78881,0.84378,0.52487,0.49389,0.37161,0.39618,0.93785,0.009076,0.009076,0.009076
58,1349.36,0.48531,0.42231,0.37208,0.89603,0.91953,0.84644,0.89031,0.69679,0.91313,0.79941,0.8489,0.53428,0.49551,0.37241,0.39094,0.92983,0.0090595,0.0090595,0.0090595
59,1372.35,0.47848,0.41761,0.36496,0.89302,0.9259,0.80911,0.88112,0.69362,0.91029,0.76304,0.83306,0.51828,0.50324,0.38615,0.40378,0.93672,0.009043,0.009043,0.009043
60,1395.43,0.48475,0.42364,0.36632,0.89484,0.93552,0.8262,0.88576,0.70849,0.92045,0.7916,0.85462,0.53089,0.48371,0.38291,0.38973,0.92475,0.0090265,0.0090265,0.0090265
61,1418.11,0.48083,0.41621,0.35829,0.89696,0.9338,0.82477,0.88116,0.70064,0.92341,0.79756,0.86452,0.53482,0.48499,0.36328,0.38181,0.92231,0.00901,0.00901,0.00901
62,1440.97,0.48046,0.42634,0.36486,0.89582,0.91688,0.84174,0.88444,0.70404,0.91537,0.77465,0.83516,0.52547,0.47722,0.36625,0.38297,0.92301,0.0089935,0.0089935,0.0089935
63,1463.83,0.47941,0.41847,0.36238,0.89711,0.93442,0.83498,0.88848,0.71108,0.8981,0.80273,0.85379,0.52927,0.48875,0.36991,0.38117,0.94344,0.008977,0.008977,0.008977
64,1486.67,0.47702,0.41746,0.35344,0.89407,0.94355,0.84776,0.89482,0.70798,0.90604,0.81364,0.84826,0.53067,0.49428,0.37254,0.3804,0.93865,0.0089605,0.0089605,0.0089605
65,1509.41,0.47647,0.41023,0.35257,0.89229,0.93898,0.83938,0.8937,0.70815,0.91016,0.80608,0.85611,0.53604,0.49804,0.36209,0.38919,0.94142,0.008944,0.008944,0.008944
66,1531.82,0.47647,0.41769,0.35136,0.89273,0.91684,0.85403,0.89721,0.71281,0.90321,0.78362,0.85425,0.53541,0.47996,0.36333,0.37328,0.93195,0.0089275,0.0089275,0.0089275
67,1555.04,0.47526,0.41459,0.35327,0.89058,0.92131,0.85231,0.88802,0.70526,0.89628,0.81932,0.84533,0.52988,0.49141,0.36457,0.38113,0.93373,0.008911,0.008911,0.008911
68,1577.84,0.47412,0.42415,0.35736,0.89055,0.88791,0.84847,0.8809,0.69543,0.89188,0.77027,0.83143,0.52513,0.48353,0.3731,0.39871,0.92042,0.0088945,0.0088945,0.0088945
69,1600.9,0.47201,0.41577,0.3478,0.89085,0.91609,0.85605,0.89479,0.71259,0.91666,0.779,0.83348,0.52623,0.49093,0.37157,0.3859,0.9428,0.008878,0.008878,0.008878
70,1623.9,0.46905,0.41408,0.35271,0.88887,0.90919,0.83924,0.89032,0.71628,0.91101,0.78251,0.82751,0.53228,0.47759,0.37092,0.37485,0.94276,0.0088615,0.0088615,0.0088615
71,1646.97,0.46495,0.41541,0.34461,0.88963,0.88404,0.85197,0.88378,0.70507,0.89662,0.80391,0.85512,0.52894,0.48905,0.36379,0.37214,0.93992,0.008845,0.008845,0.008845
72,1669.87,0.46666,0.419,0.34727,0.88785,0.95345,0.82007,0.89756,0.71108,0.91366,0.77655,0.84694,0.53923,0.49188,0.36277,0.37511,0.94771,0.0088285,0.0088285,0.0088285
73,1692.69,0.46625,0.40767,0.33855,0.88577,0.93677,0.85381,0.89859,0.70357,0.90733,0.82299,0.86314,0.54316,0.48231,0.36163,0.38686,0.92967,0.008812,0.008812,0.008812
74,1715.61,0.46707,0.414,0.34709,0.88647,0.93456,0.83643,0.89489,0.71564,0.89887,0.80236,0.85089,0.53527,0.47965,0.34865,0.35552,0.94148,0.0087955,0.0087955,0.0087955
75,1738.58,0.46571,0.41321,0.33953,0.88658,0.90406,0.84365,0.88592,0.69618,0.89723,0.81625,0.85732,0.53906,0.49158,0.36744,0.37895,0.94003,0.008779,0.008779,0.008779
