epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,835.681,1.10088,0.67633,1.33102,0.96269,0.92777,0.96508,0.69325,1.03596,0.48503,1.36466,0.00477536,0.00477536,0.00477536
43,855.282,1.08815,0.66265,1.33348,0.95677,0.9332,0.96864,0.69448,1.03899,0.48223,1.3581,0.00476445,0.00476445,0.00476445
44,874.575,1.09693,0.66686,1.32619,0.96521,0.93377,0.96943,0.69977,1.02135,0.48218,1.3508,0.00475329,0.00475329,0.00475329
45,894.311,1.07142,0.66262,1.3243,0.95767,0.92121,0.96627,0.6894,1.02921,0.49156,1.36521,0.00474189,0.00474189,0.00474189
46,914.291,1.07949,0.67779,1.32238,0.94515,0.92694,0.9649,0.691,1.02932,0.49253,1.37657,0.00473024,0.00473024,0.00473024
47,934.209,1.07762,0.67595,1.31598,0.96852,0.92922,0.96829,0.69817,1.02072,0.47834,1.35605,0.00471835,0.00471835,0.00471835
48,953.864,1.07329,0.65665,1.31371,0.96334,0.93146,0.9665,0.70234,1.00864,0.46452,1.34146,0.00470623,0.00470623,0.00470623
49,973.861,1.07169,0.65249,1.30896,0.96853,0.92736,0.96633,0.70088,1.01949,0.47496,1.34063,0.00469386,0.00469386,0.00469386
50,993.705,1.06429,0.64864,1.31378,0.96426,0.92785,0.96717,0.70202,1.01297,0.47663,1.35515,0.00468125,0.00468125,0.00468125
51,1013.29,1.05958,0.65081,1.30093,0.96952,0.92546,0.97015,0.70105,1.01341,0.46837,1.32796,0.00466841,0.00466841,0.00466841
52,1033.4,1.08266,0.65961,1.31894,0.96331,0.92546,0.9697,0.70879,1.00323,0.46257,1.33839,0.00465534,0.00465534,0.00465534
53,1053.28,1.03866,0.62736,1.28873,0.96151,0.93097,0.97055,0.71306,0.98553,0.4568,1.3081,0.00464203,0.00464203,0.00464203
54,1072.95,1.0614,0.63942,1.30628,0.96507,0.93612,0.97164,0.7099,1.01077,0.45191,1.34738,0.00462848,0.00462848,0.00462848
55,1092.67,1.05265,0.62378,1.29897,0.96058,0.92886,0.96985,0.70562,0.99899,0.47068,1.33983,0.00461471,0.00461471,0.00461471
56,1112.57,1.04913,0.63742,1.29077,0.96714,0.93096,0.97073,0.71302,0.98875,0.45271,1.32462,0.00460071,0.00460071,0.00460071
57,1132.33,1.03408,0.62972,1.28104,0.96351,0.92644,0.9727,0.71321,0.98166,0.4515,1.29551,0.00458648,0.00458648,0.00458648
58,1152.23,1.03182,0.62023,1.27362,0.97204,0.92665,0.97247,0.71088,0.98851,0.44966,1.32192,0.00457202,0.00457202,0.00457202
59,1172.21,1.03978,0.61133,1.27694,0.96357,0.93522,0.97224,0.71635,0.9896,0.44224,1.30088,0.00455734,0.00455734,0.00455734
60,1192.08,1.02769,0.61777,1.2704,0.96224,0.93333,0.97027,0.70996,0.9868,0.45259,1.33093,0.00454244,0.00454244,0.00454244
61,1211.65,1.03227,0.6237,1.29164,0.97376,0.9204,0.97204,0.72128,0.97521,0.44111,1.31344,0.00452732,0.00452732,0.00452732
62,1231.29,1.02595,0.61063,1.27619,0.96474,0.93377,0.97308,0.71786,0.97431,0.4345,1.31617,0.00451197,0.00451197,0.00451197
63,1251.33,1.0061,0.60619,1.26421,0.96712,0.92893,0.97261,0.72284,0.97356,0.43618,1.29972,0.00449641,0.00449641,0.00449641
64,1270.67,1.01363,0.59691,1.27233,0.96126,0.93633,0.9724,0.7178,0.97596,0.43902,1.31298,0.00448063,0.00448063,0.00448063
65,1290.56,1.02154,0.60893,1.27683,0.95424,0.9347,0.96962,0.72741,0.96851,0.44081,1.31137,0.00446464,0.00446464,0.00446464
66,1310.53,1.01315,0.60376,1.27264,0.9654,0.92865,0.97195,0.7213,0.97958,0.43763,1.31624,0.00444844,0.00444844,0.00444844
67,1330.46,1.01594,0.5966,1.26442,0.96691,0.92519,0.9692,0.71354,0.9758,0.44724,1.31286,0.00443202,0.00443202,0.00443202
68,1350.36,1.00687,0.60406,1.27872,0.97081,0.93124,0.97401,0.72079,0.96287,0.42945,1.31364,0.0044154,0.0044154,0.0044154
69,1370.23,1.01895,0.61521,1.28259,0.96285,0.93059,0.97185,0.71914,0.95925,0.43159,1.30278,0.00439856,0.00439856,0.00439856
70,1390.19,1.00364,0.58461,1.26099,0.96752,0.93058,0.97483,0.72558,0.96482,0.42301,1.30709,0.00438152,0.00438152,0.00438152
71,1410.19,0.99753,0.57535,1.25117,0.96726,0.93164,0.97181,0.72063,0.95746,0.42783,1.29828,0.00436428,0.00436428,0.00436428
72,1430.12,1.00243,0.59046,1.25339,0.95199,0.9401,0.97155,0.72749,0.96548,0.42657,1.29456,0.00434684,0.00434684,0.00434684
73,1450.19,0.98368,0.57409,1.25161,0.96514,0.93628,0.97271,0.72545,0.96448,0.42123,1.30153,0.0043292,0.0043292,0.0043292
74,1470.14,0.98506,0.57737,1.25551,0.97543,0.93927,0.9755,0.72794,0.95526,0.41725,1.28814,0.00431136,0.00431136,0.00431136
75,1489.91,0.98545,0.58708,1.25346,0.95821,0.94664,0.9764,0.73006,0.95433,0.41899,1.29308,0.00429332,0.00429332,0.00429332
76,1509.86,0.99026,0.58199,1.24697,0.96351,0.94201,0.97589,0.72811,0.95217,0.41529,1.27481,0.00427509,0.00427509,0.00427509
77,1529.48,0.98062,0.58008,1.24629,0.9653,0.93556,0.97436,0.73111,0.953,0.41368,1.28793,0.00425667,0.00425667,0.00425667
78,1549.43,0.96714,0.56776,1.23561,0.97108,0.93934,0.97531,0.73456,0.95074,0.41321,1.29537,0.00423805,0.00423805,0.00423805
79,1569.33,0.99201,0.57383,1.24609,0.97859,0.93529,0.97656,0.73363,0.95321,0.40582,1.2825,0.00421925,0.00421925,0.00421925
80,1589.1,0.97494,0.56949,1.24769,0.96501,0.95012,0.97746,0.73575,0.9441,0.39995,1.27546,0.00420027,0.00420027,0.00420027
81,1608.58,0.98013,0.56003,1.2359,0.97072,0.94453,0.97724,0.73849,0.9423,0.40088,1.27288,0.0041811,0.0041811,0.0041811
82,1627.89,0.98276,0.57302,1.24331,0.97015,0.93012,0.97677,0.7324,0.93869,0.40931,1.26787,0.00416175,0.00416175,0.00416175
83,1647.86,0.95773,0.55626,1.23377,0.96834,0.94492,0.97664,0.73581,0.94021,0.40172,1.27497,0.00414222,0.00414222,0.00414222
84,1667.77,0.97253,0.56743,1.2486,0.9654,0.94415,0.97817,0.73816,0.94332,0.40437,1.27927,0.00412251,0.00412251,0.00412251
85,1687.65,0.95399,0.54646,1.22871,0.9726,0.93435,0.97628,0.74333,0.93786,0.39944,1.27791,0.00410262,0.00410262,0.00410262
86,1707.69,0.96336,0.56093,1.22895,0.97343,0.94295,0.97542,0.74294,0.93529,0.39239,1.28954,0.00408257,0.00408257,0.00408257
87,1727.39,0.94698,0.54228,1.22629,0.97271,0.94148,0.97633,0.74456,0.93728,0.40035,1.2814,0.00406234,0.00406234,0.00406234
88,1747.41,0.95446,0.54925,1.23258,0.97369,0.93721,0.97616,0.74313,0.92784,0.39101,1.27307,0.00404194,0.00404194,0.00404194
89,1767.31,0.95366,0.5489,1.22346,0.96952,0.93572,0.97638,0.74334,0.92252,0.39495,1.28058,0.00402138,0.00402138,0.00402138
90,1787.03,0.93076,0.53897,1.21041,0.97818,0.9316,0.97583,0.74281,0.92919,0.39006,1.27494,0.00400066,0.00400066,0.00400066
91,1806.9,0.95038,0.54825,1.2235,0.97035,0.94292,0.97752,0.74264,0.92795,0.38827,1.26728,0.00397977,0.00397977,0.00397977
92,1826.91,0.94197,0.53846,1.21614,0.97814,0.93227,0.97699,0.74478,0.92425,0.39071,1.27677,0.00395872,0.00395872,0.00395872
93,1847.01,0.93146,0.53337,1.2169,0.9734,0.94247,0.9765,0.74872,0.92349,0.38459,1.27197,0.00393752,0.00393752,0.00393752
94,1867.06,0.93629,0.53725,1.21412,0.97501,0.93416,0.97665,0.74211,0.93079,0.39014,1.27476,0.00391616,0.00391616,0.00391616
95,1887.09,0.94678,0.53549,1.21661,0.97633,0.94103,0.97778,0.74212,0.93581,0.38867,1.26816,0.00389464,0.00389464,0.00389464
96,1907.11,0.92882,0.53072,1.21273,0.97111,0.94213,0.97815,0.74204,0.93021,0.39036,1.26231,0.00387298,0.00387298,0.00387298
97,1927.06,0.92869,0.53371,1.20767,0.97735,0.9334,0.97792,0.74744,0.92086,0.38671,1.26708,0.00385117,0.00385117,0.00385117
98,1947.01,0.9283,0.53776,1.20801,0.97314,0.94068,0.97859,0.74778,0.92287,0.3898,1.25571,0.00382922,0.00382922,0.00382922
99,1966.72,0.93166,0.5305,1.20813,0.97079,0.93933,0.97988,0.7477,0.92107,0.38338,1.25791,0.00380712,0.00380712,0.00380712
100,1986.23,0.91503,0.53206,1.20005,0.97281,0.93682,0.9766,0.74785,0.91598,0.38894,1.25857,0.00378488,0.00378488,0.00378488
101,2006.16,0.92015,0.52883,1.20115,0.97662,0.9383,0.97823,0.75028,0.91938,0.38269,1.26386,0.0037625,0.0037625,0.0037625
102,2026.1,0.91969,0.52934,1.2005,0.96717,0.94701,0.97887,0.7473,0.91932,0.38086,1.25338,0.00373999,0.00373999,0.00373999
103,2045.95,0.91229,0.52562,1.19922,0.98859,0.93358,0.97869,0.74782,0.91876,0.37811,1.27278,0.00371734,0.00371734,0.00371734
104,2065.8,0.90456,0.5111,1.18675,0.97495,0.94885,0.97997,0.75085,0.91189,0.37611,1.25794,0.00369456,0.00369456,0.00369456
105,2085.62,0.91245,0.51402,1.19654,0.98488,0.93581,0.98054,0.75094,0.91155,0.37181,1.25259,0.00367166,0.00367166,0.00367166
106,2105.63,0.90869,0.51974,1.18772,0.97318,0.94783,0.9794,0.75147,0.90742,0.37195,1.25303,0.00364863,0.00364863,0.00364863
