epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1123.51,0.51779,0.46052,0.4153,0.88598,0.91142,0.83039,0.8702,0.68749,0.91276,0.82608,0.86945,0.53812,0.49784,0.37249,0.40202,0.84486,0.00053225,0.00053225,0.00053225
31,1152.76,0.51451,0.44782,0.40212,0.88324,0.92468,0.81012,0.87895,0.689,0.9186,0.80333,0.84866,0.53855,0.50926,0.39177,0.40714,0.85011,0.0005075,0.0005075,0.0005075
32,1189.18,0.51295,0.45258,0.40342,0.88335,0.88432,0.83147,0.86612,0.67911,0.86092,0.80756,0.83271,0.52496,0.50678,0.38811,0.40159,0.853,0.00048275,0.00048275,0.00048275
33,1226.68,0.50579,0.44551,0.40172,0.87933,0.91449,0.81501,0.86907,0.69017,0.89871,0.81864,0.86289,0.53563,0.49684,0.37645,0.40172,0.84686,0.000458,0.000458,0.000458
34,1264.85,0.5043,0.44448,0.39416,0.87912,0.90048,0.82771,0.8752,0.68494,0.88632,0.81426,0.85184,0.53852,0.49247,0.37392,0.39709,0.8443,0.00043325,0.00043325,0.00043325
35,1302.73,0.49593,0.44434,0.39075,0.87534,0.91248,0.80491,0.8745,0.68897,0.93094,0.79711,0.85259,0.53814,0.51428,0.37048,0.40256,0.8488,0.0004085,0.0004085,0.0004085
36,1337,0.49724,0.43753,0.38704,0.87496,0.92377,0.81586,0.87985,0.69543,0.91772,0.80994,0.85313,0.5362,0.49368,0.38329,0.39981,0.84504,0.00038375,0.00038375,0.00038375
37,1370.18,0.49244,0.44369,0.3825,0.87476,0.90932,0.81357,0.87002,0.69214,0.89027,0.81615,0.84229,0.53157,0.48887,0.38043,0.39573,0.84241,0.000359,0.000359,0.000359
38,1408.67,0.49012,0.45038,0.38431,0.87472,0.94933,0.79074,0.8697,0.69745,0.93679,0.78936,0.85718,0.53914,0.49542,0.36842,0.3926,0.84341,0.00033425,0.00033425,0.00033425
39,1445.32,0.4917,0.43803,0.38179,0.87585,0.90692,0.81186,0.87172,0.68488,0.90177,0.80739,0.86086,0.53918,0.48719,0.37203,0.38816,0.84449,0.0003095,0.0003095,0.0003095
40,1478.59,0.48561,0.43332,0.37837,0.87352,0.89358,0.83741,0.87221,0.69456,0.90004,0.80233,0.8544,0.53375,0.48728,0.37256,0.38165,0.84227,0.00028475,0.00028475,0.00028475
41,1510.84,0.48461,0.40984,0.38128,0.86837,0.90994,0.83531,0.88053,0.69195,0.90111,0.82014,0.86369,0.54691,0.49663,0.37447,0.39199,0.84913,0.00026,0.00026,0.00026
42,1547.67,0.47611,0.40422,0.36834,0.86543,0.90865,0.84568,0.88369,0.69543,0.91846,0.81004,0.86074,0.5297,0.49499,0.37636,0.37962,0.84527,0.00023525,0.00023525,0.00023525
43,1582.06,0.46808,0.40595,0.36586,0.86352,0.91868,0.84147,0.88227,0.69645,0.88509,0.81095,0.85327,0.53852,0.49104,0.37433,0.38732,0.84807,0.0002105,0.0002105,0.0002105
44,1613.38,0.46256,0.40411,0.35898,0.86081,0.91356,0.84745,0.88649,0.70333,0.8982,0.81538,0.8625,0.54636,0.49371,0.37793,0.38153,0.84809,0.00018575,0.00018575,0.00018575
45,1650.69,0.46023,0.40139,0.35609,0.86141,0.91934,0.82668,0.88218,0.70039,0.90551,0.81043,0.85663,0.54517,0.49333,0.37352,0.38192,0.84811,0.000161,0.000161,0.000161
46,1688.52,0.45517,0.39902,0.34991,0.8611,0.91909,0.83593,0.88565,0.695,0.91432,0.83087,0.87352,0.54943,0.48829,0.37875,0.37849,0.84669,0.00013625,0.00013625,0.00013625
47,1725.1,0.44661,0.39118,0.34308,0.85393,0.9207,0.83958,0.88759,0.6964,0.89972,0.81803,0.86367,0.54363,0.49394,0.37453,0.3771,0.84755,0.0001115,0.0001115,0.0001115
48,1763.82,0.44638,0.39386,0.34121,0.85707,0.91808,0.83999,0.8847,0.70328,0.89644,0.81304,0.86244,0.54776,0.49018,0.36853,0.37122,0.84725,8.675e-05,8.675e-05,8.675e-05
49,1800.76,0.4376,0.39444,0.33521,0.85534,0.92249,0.83686,0.88507,0.70056,0.89865,0.81496,0.86524,0.54446,0.49996,0.37464,0.37168,0.85094,6.2e-05,6.2e-05,6.2e-05
50,1838.24,0.43856,0.39255,0.33356,0.85863,0.92122,0.83806,0.88621,0.70215,0.89705,0.81584,0.86333,0.54744,0.48367,0.37365,0.36926,0.84682,3.725e-05,3.725e-05,3.725e-05
