epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1763.75,0.82567,0.49555,1.17155,0.96479,0.92434,0.96789,0.76391,0.83565,0.40255,1.16415,0.00898525,0.00898525,0.00898525
43,1806.45,0.81354,0.48927,1.15953,0.96141,0.92708,0.96941,0.76584,0.82785,0.40256,1.14876,0.0089605,0.0089605,0.0089605
44,1848.33,0.81905,0.48638,1.15881,0.96386,0.93928,0.97284,0.77714,0.83932,0.39274,1.14586,0.00893575,0.00893575,0.00893575
45,1890.85,0.79991,0.48033,1.14728,0.96825,0.93206,0.97197,0.76685,0.84242,0.39641,1.13486,0.008911,0.008911,0.008911
46,1930.9,0.7988,0.47735,1.14638,0.96933,0.93141,0.97089,0.76849,0.83639,0.39552,1.1445,0.00888625,0.00888625,0.00888625
47,1973.83,0.81583,0.49307,1.1446,0.96589,0.93795,0.97372,0.76914,0.82899,0.39506,1.14454,0.0088615,0.0088615,0.0088615
48,2016.37,0.79542,0.47535,1.15232,0.96815,0.9429,0.97378,0.78045,0.807,0.37741,1.13167,0.00883675,0.00883675,0.00883675
49,2059.01,0.79444,0.46885,1.1457,0.97456,0.93282,0.97342,0.77846,0.8228,0.38558,1.1348,0.008812,0.008812,0.008812
50,2101.16,0.79566,0.47473,1.15583,0.96026,0.93407,0.97078,0.76848,0.82248,0.39117,1.13443,0.00878725,0.00878725,0.00878725
51,2143.85,0.79513,0.46533,1.14602,0.97376,0.93002,0.96918,0.77668,0.81313,0.38766,1.12512,0.0087625,0.0087625,0.0087625
52,2180.82,0.78127,0.46199,1.12949,0.96796,0.93881,0.97104,0.77976,0.80075,0.37532,1.11617,0.00873775,0.00873775,0.00873775
53,2222.67,0.78199,0.46269,1.13984,0.96574,0.93473,0.97309,0.77963,0.80235,0.37833,1.12989,0.008713,0.008713,0.008713
54,2264.29,0.78513,0.46403,1.14249,0.96577,0.94298,0.97476,0.78125,0.80044,0.37516,1.12792,0.00868825,0.00868825,0.00868825
55,2308.07,0.77753,0.45634,1.13658,0.97058,0.94647,0.97618,0.78408,0.79807,0.36833,1.12111,0.0086635,0.0086635,0.0086635
56,2351.53,0.77227,0.45419,1.12379,0.969,0.94397,0.9748,0.79109,0.78818,0.36143,1.10242,0.00863875,0.00863875,0.00863875
57,2390.34,0.77063,0.45077,1.12103,0.96826,0.93643,0.97466,0.78754,0.78432,0.36715,1.10033,0.008614,0.008614,0.008614
58,2432.38,0.76542,0.44929,1.12142,0.97443,0.93985,0.97374,0.79129,0.78599,0.36387,1.10118,0.00858925,0.00858925,0.00858925
59,2474.16,0.75692,0.44358,1.11511,0.97223,0.93981,0.97319,0.78477,0.78535,0.36497,1.10696,0.0085645,0.0085645,0.0085645
60,2515.57,0.74995,0.43694,1.1184,0.96175,0.93679,0.97024,0.78176,0.78094,0.36783,1.1081,0.00853975,0.00853975,0.00853975
61,2557.39,0.7618,0.44959,1.12344,0.96721,0.94405,0.97529,0.79163,0.7727,0.35858,1.10656,0.008515,0.008515,0.008515
62,2600.18,0.75696,0.44172,1.11949,0.963,0.94686,0.97509,0.7916,0.7849,0.36193,1.11526,0.00849025,0.00849025,0.00849025
63,2642.11,0.74503,0.43615,1.11681,0.96041,0.95366,0.97485,0.78984,0.78463,0.35626,1.10762,0.0084655,0.0084655,0.0084655
64,2681.39,0.75061,0.43782,1.12552,0.96583,0.94527,0.96922,0.79031,0.77109,0.35767,1.10577,0.00844075,0.00844075,0.00844075
65,2724.06,0.75586,0.43181,1.11729,0.96922,0.94642,0.97274,0.79262,0.76401,0.35533,1.09456,0.008416,0.008416,0.008416
66,2766.17,0.7313,0.42749,1.11121,0.97358,0.94147,0.96894,0.79175,0.77429,0.35437,1.1151,0.00839125,0.00839125,0.00839125
67,2807.72,0.73575,0.43625,1.12042,0.97509,0.94653,0.97378,0.78961,0.78422,0.35107,1.10733,0.0083665,0.0083665,0.0083665
68,2850.16,0.73524,0.43195,1.11163,0.97084,0.94471,0.9732,0.79674,0.76721,0.35815,1.10013,0.00834175,0.00834175,0.00834175
69,2892.51,0.72638,0.4284,1.10571,0.96712,0.94387,0.9736,0.79386,0.76858,0.34834,1.08716,0.008317,0.008317,0.008317
70,2934.68,0.72688,0.42088,1.11164,0.96963,0.94912,0.9738,0.79965,0.76096,0.35403,1.09769,0.00829225,0.00829225,0.00829225
71,2972.65,0.72994,0.42241,1.10335,0.97438,0.94734,0.97455,0.79747,0.76114,0.35124,1.09155,0.0082675,0.0082675,0.0082675
72,3015.14,0.71173,0.41131,1.09655,0.96824,0.95096,0.97383,0.79732,0.74831,0.34215,1.08768,0.00824275,0.00824275,0.00824275
73,3058.28,0.71732,0.41726,1.0964,0.96711,0.94905,0.97596,0.80205,0.76123,0.34306,1.09634,0.008218,0.008218,0.008218
74,3101.45,0.71502,0.41366,1.10161,0.9735,0.94469,0.97527,0.80193,0.75278,0.34492,1.09322,0.00819325,0.00819325,0.00819325
75,3142.79,0.71201,0.41702,1.10414,0.97763,0.94848,0.97592,0.80153,0.75101,0.34152,1.08992,0.0081685,0.0081685,0.0081685
76,3181.61,0.70906,0.41072,1.0962,0.97274,0.95111,0.97387,0.80163,0.74918,0.3314,1.08734,0.00814375,0.00814375,0.00814375
77,3219.6,0.70564,0.41244,1.09926,0.97461,0.95346,0.97484,0.80379,0.73796,0.33363,1.07781,0.008119,0.008119,0.008119
78,3260.44,0.70017,0.4073,1.09682,0.97223,0.95406,0.97705,0.80814,0.73102,0.32698,1.07209,0.00809425,0.00809425,0.00809425
79,3301.45,0.70376,0.40796,1.09017,0.96459,0.95418,0.9764,0.81203,0.73855,0.33442,1.06966,0.0080695,0.0080695,0.0080695
